,count
the zoo,1
water or snow,1
six flags,1
i love to fish,1
lake,1
being outside,1
barbecues,1
i enjoy simple great times dinning,1
touring,1
roaming local towns,1
grandbabies,1
good movies,1
hockey,1
